Core,Power,Frequency,Temperature,Utilization,InThrottleMode
0,3.2756,3000,81.01,0.239923,1
1,0.402758,1000,47.47,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.806668,1000,60.54,0.269687,0
0,1.80148,2000,64.93,0.253807,0
0,3.26371,3000,79.73,0.238322,0
0,5.47399,4000,105.92,0.238322,1
1,0.402758,1000,47.47,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.8028,1000,66.73,0.266241,0
0,1.79106,2000,67.04,0.251256,0
0,3.24782,3000,80.59,0.236967,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.798554,1000,60.33,0.263713,0
0,1.78576,2000,64.66,0.25,0
0,3.22979,3000,79.23,0.234742,0
0,5.44346,4000,105.37,0.236518,1
1,0.402758,1000,47.47,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.800194,1000,66.55,0.26483,0
0,1.78034,2000,66.85,0.249252,0
0,3.21036,3000,80.05,0.232992,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.80221,1000,60.22,0.265957,0
0,1.7798,2000,64.54,0.248756,0
0,3.21505,3000,79.02,0.233209,0
0,5.40526,4000,104.83,0.234082,1
1,0.402758,1000,47.47,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.799989,1000,66.41,0.26483,0
0,1.77451,2000,66.71,0.24777,0
0,3.18272,3000,79.66,0.229991,0
0,5.36543,4000,104.81,0.231911,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.79733,1000,66.53,0.263158,0
0,1.76881,2000,66.75,0.246548,0
0,3.19584,3000,79.87,0.231267,0
0,5.38153,4000,105.05,0.232775,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.798112,1000,66.61,0.263435,0
0,1.77508,2000,66.85,0.247525,0
0,3.18562,3000,79.78,0.230203,0
0,5.30642,4000,104.16,0.228519,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.802979,1000,66.45,0.266241,0
0,1.76199,2000,66.6,0.244141,0
0,3.15629,3000,79.31,0.22686,0
0,5.26796,4000,103.51,0.22604,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.79779,1000,66.22,0.263435,0
0,1.75274,2000,66.43,0.242483,0
0,3.11673,3000,78.77,0.222816,0
0,5.18429,4000,102.32,0.221239,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.791494,1000,65.83,0.258799,0
0,1.73673,2000,66.09,0.23855,0
0,3.09407,3000,78.39,0.220459,0
0,5.20115,4000,102.39,0.222025,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.794557,1000,65.85,0.260146,0
0,1.7383,2000,66.11,0.239006,0
0,3.10007,3000,78.46,0.221043,0
0,5.10113,4000,101.16,0.216076,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.791486,1000,65.52,0.258264,0
0,1.7386,2000,66,0.239234,0
0,3.08063,3000,78.14,0.218723,0
0,5.10609,4000,101.11,0.216263,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.78602,1000,65.41,0.254065,0
0,1.72359,2000,65.77,0.235627,0
0,3.04764,3000,77.66,0.215146,0
0,5.10001,4000,100.93,0.216076,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.78988,1000,65.4,0.257202,0
0,1.71897,2000,65.68,0.234302,0
0,3.06263,3000,77.84,0.217014,0
0,5.01503,4000,99.86,0.210793,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.787679,1000,65.12,0.25641,0
0,1.71832,2000,65.63,0.235183,0
0,3.04109,3000,77.62,0.215332,0
0,5.00112,4000,99.83,0.21097,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.786313,1000,65.08,0.254842,0
0,1.70619,2000,65.45,0.232342,0
0,3.01352,3000,77.2,0.212224,0
0,4.94945,4000,98.99,0.207641,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.779292,1000,64.77,0.25025,0
0,1.69715,2000,65.23,0.230203,0
0,3.00542,3000,77,0.211149,0
0,4.9574,4000,99.05,0.20816,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.783044,1000,64.82,0.252781,0
0,1.69031,2000,65.13,0.22831,0
0,2.98401,3000,76.71,0.208855,0
0,4.91577,4000,98.46,0.205761,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.783236,1000,64.66,0.252781,0
0,1.69932,2000,65.18,0.230415,0
0,2.98127,3000,76.65,0.208507,0
0,4.89304,4000,98.08,0.204082,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.782794,1000,64.55,0.251762,0
0,1.68873,2000,65,0.227687,0
0,2.97068,3000,76.45,0.207297,0
0,4.86856,4000,97.69,0.202429,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.778516,1000,64.39,0.249252,0
0,1.6866,2000,64.91,0.227066,0
0,2.95687,3000,76.27,0.206101,0
0,4.80072,4000,96.86,0.198728,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.779328,1000,64.19,0.24975,0
